OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID,HPMS,FLOW_COUNT,Shape,Shape_Length
151,,Y,12900,STEWART ST,249,"STEWART ST, NE/O 4TH AVE",2013,12900,9800,312151,Y,Y,"(47.611629135000044, -122.33959191399998)",1610.166642743736247
152,,Y,13531,WESTLAKE AVE,276,"WESTLAKE AVE, S/O DENNY WAY",2013,13531,8700,313933, ,Y,"(47.61330060900008, -122.33743123399995)",1931.624535729683885
153,112750300,N,14364,E MADISON ST,118,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E",2013,14364,14700,311567, ,Y,"(47.61917077700008, -122.30254741099998)",3528.686984856410163
154,27200460,N,5484,35TH AVE SW,50,"35TH AVE SW, N/O SW ROXBURY ST",2013,5484,16500,313041,Y,Y,"(47.52107001400003, -122.37676149299995)",2685.903341761133561
155,63450245,Y,158085,DENNY WAY,108,"DENNY WAY, E/O MINOR AVE",2013,158085,21600,313092,Y,Y,"(47.61852163400005, -122.33532065999998)",1134.110441085766524
156,86950030,N,11911,MONTLAKE BLVD NE,164,"MONTLAKE BLVD NE, N/O NE PACIFIC PL",2013,11911,44600,313432, ,Y,"(47.648997404000056, -122.30459125899995)",3751.859474567873804
157,63450135,B,10007,DENNY WAY,112,"DENNY WAY, W/O 6TH AVE",2013,10007,23400,313096,Y,Y,"(47.61859203600005, -122.35283934999995)",2574.221294739885252
158,132850170,N,16854,NE 45TH ST,186,"NE 45TH ST, E/O 16TH AVE NE",2013,16854,23500,311580, ,Y,"(47.661261953000064, -122.31199330999999)",3377.298854713696528
159,86150160,N,11775,MERCER ST,162,"MERCER ST, W/O FAIRVIEW AVE N",2013,11775,49200,311454,Y,Y,"(47.624549726000055, -122.34234960099997)",1988.340098269115742
160,132850100,N,16847,NE 45TH ST,188,"NE 45TH ST, W/O ROOSEVELT WAY NE",2013,16847,35300,313152,Y,Y,"(47.66132822800006, -122.32215961099996)",2520.909840262715079
161,44550180,N,7997,6TH AVE S,70,"6TH AVE S, S/O S FOREST ST",2013,7997,12900,313071,Y,Y,"(47.57980932500004, -122.32597667399995)",2952.328326959690912
162,86850010,N,11902,MONTLAKE BR,165,"MONTLAKE BR, S/O POINT A",2013,11902,56100,313723, ,Y,"(47.645263777000025, -122.30461715199999)",1362.081214635126116
163,77850010,R,489775,STEWART ST RAMP,248,"STEWART ST (OFF&REV) RP, N/O STEWART ST",2013,489775,17200,313483, ,Y,"(47.622727087000044, -122.32865945399999)",1118.182210515598854
164,88150040,N,11970,NICKERSON ST,202,"NICKERSON ST, NW/O FLORENTIA ST",2013,11970,23300,311596,Y,Y,"(47.646888415000035, -122.35136120299995)",7124.192438028353536
165,70000070,N,10638,GILMAN AVE W,136,"GILMAN AVE W, NW/O W EMERSON PL",2013,10638,11900,313446, ,Y,"(47.65587141100008, -122.38647924699995)",4854.072479404328078
166,9550150,Y,2757,2ND AVE,43,"2ND AVE, SE/O PIKE ST",2013,2757,15200,311776,Y,Y,"(47.59842209200008, -122.32896982499994)",5381.627111980106747
167,93450260,N,12364,RAINIER AVE S,215,"RAINIER AVE S, NW/O S MCCLELLAN ST",2013,12364,35000,313462, ,Y,"(47.59216265800006, -122.30869003499998)",5670.942206346710009
168,55650170,Y,9318,BOREN AVE,92,"BOREN AVE, SE/O PIKE ST",2013,9318,20800,313442, ,Y,"(47.60933797300004, -122.32513907699996)",4223.705131033464568
169,162850240,N,20501,S JACKSON ST,234,"S JACKSON ST, W/O 23RD AVE S",2013,20501,6000,313470, ,Y,"(47.599210087000074, -122.31413725499999)",5318.574127167029474
170,127150040,N,16114,N NORTHGATE WAY,182,"N NORTHGATE WAY, W/O ASHWORTH AVE N",2013,16114,19300,313150,Y,Y,"(47.70505121300005, -122.34469412899995)",4267.857027748139444
171,139500020,N,18039,NE PACIFIC ST,201,"NE PACIFIC ST, NE/O 2ND AVE NE",2013,18039,11800,313209,Y,Y,"(47.64958972900007, -122.34974744899995)",7934.3511119965533
172,95950080,N,12762,SEAVIEW AVE NW,244,"SEAVIEW AVE NW, N/O NW 67TH ST",2013,12762,3500,313731, ,Y,"(47.66867869200007, -122.38757648699999)",16934.406660877120885
173,134650290,N,17277,NE 65TH ST,193,"NE 65TH ST, W/O 25TH AVE NE",2013,17277,22700,311584, ,Y,"(47.67578344000003, -122.31192972099996)",2778.454149056988626
174,102580290,N,13333,WEST SEATTLE BR EB & WB,7,"WEST SEATTLE BR EB & WB, NE/O FAUNTLEROY WAY SW",2013,13333,47600,313014,Y, ,"(47.571207618000074, -122.35847912499997)",7828.253587546569179
175,,Y,9414,BROAD ST,94,"BROAD ST, SW/O 3RD AVE",2013,9414,10900,313403, ,Y,"(47.61558794200005, -122.35422426799994)",1450.245832062447334
176,119750210,N,15279,N 145TH ST,172,"N 145TH ST, W/O MERIDIAN AVE N",2013,15279,26200,313443, ,Y,"(47.734128428000076, -122.34509710399999)",4983.290938292529972
177,172350300,N,21625,SW 106TH ST,251,"SW 106TH ST, W/O SEOLA BEACH DR SW",2013,21625,9300,313771, ,Y,"(47.50820078700008, -122.37087513199998)",3274.922723637146191
178,156300030,N,19710,S COLUMBIAN WAY,226,"S COLUMBIAN EB&WB WAY, NW/O 14TH AVE S",2013,19710,38400,313236,Y,Y,"(47.571577664000074, -122.32898895899996)",4140.240295466168391
179,63450200,B,10015,DENNY WAY,110,"DENNY WAY, E/O WESTLAKE AVE",2013,10015,22200,313094,Y,Y,"(47.618550165000045, -122.34240185299996)",1746.45065065916674
180,93150200,N,12312,QUEEN ANNE AVE N,211,"QUEEN ANNE AVE N, S/O CROCKETT ST",2013,12312,9900,312696, ,Y,"(47.62458297400008, -122.35670922099996)",5505.528873192370156
181,3250020,N,1551,12TH AVE E,11,"12TH AVE E, N/O E JOHN ST",2013,1551,7900,311556, ,Y,"(47.61993670700008, -122.31692834299997)",2417.627495236642062
182,82920010,N,11495,M L KING JR WAY E,157,"M L KING JR WAY E, S/O E JOHN ST",2013,11495,7600,313415, ,Y,"(47.607996624000066, -122.29625430699997)",5599.151101707795533
183,165650100,N,20848,S MICHIGAN ST,238,"S MICHIGAN ST, E/O 6TH AVE S",2013,20848,39000,313248,Y,Y,"(47.54320179800004, -122.33399432999994)",3586.293510196811894
184,116900140,N,14946,E YESLER WAY,122,"E YESLER WAY, W/O 23RD AVE",2013,14946,7400,313423, ,Y,"(47.601695164000034, -122.31782315499999)",6243.188938916101506
185,167350150,N,21055,S OTHELLO ST,240,"S OTHELLO ST, E/O 43RD AVE S",2013,21055,7600,311976, ,Y,"(47.53895778300006, -122.29608148499995)",6539.889646728735897
186,2300050,N,1408,11TH AVE NE,10,"11TH AVE NE, S/O NE 45TH ST",2013,1408,11500,313425, ,Y,"(47.65601781700008, -122.31784158799996)",7370.841363788322269
187,94850310,N,12623,ROOSEVELT WAY NE,223,"ROOSEVELT WAY NE, N/O NE 73RD ST",2013,12623,12800,313229,Y,Y,"(47.68155393100005, -122.31745695999996)",597.649017834873689
188,48000400,N,8406,8TH AVE NW,75,"8TH AVE NW, S/O NW 80TH ST",2013,8406,11900,313697, ,Y,"(47.660481978000064, -122.36619104799996)",14468.643063151630486
189,200640,N,1113,1ST AVE NE,27,"1ST AVE NE, S/O NE 145TH ST",2013,1113,5400,311012, ,Y,"(47.72316551600005, -122.32891834799995)",3986.725487986653206
190,174000400,N,21861,FAUNTLEROY FERRY DOCK,254,"SW BARTON ST, SW/O FAUNTLEROY WAY SW",2013,21861,5200,313776, ,Y,"(47.52317298100007, -122.39298987199999)",304.679593832594207
191,157550090,N,19832,S DEARBORN ST,228,"S DEARBORN ST, W/O 13TH AVE S",2013,19832,21700,313242,Y,Y,"(47.59648601400005, -122.32904621999995)",4409.291525259536684
192,38850120,Y,7235,5TH AVE,68,"5TH AVE, SE/O PIKE ST",2013,7235,8100,311640,Y,Y,"(47.60168377100007, -122.32765594099999)",4844.808539477606246
193,93450010,N,12340,RAINIER AVE S,217,"RAINIER AVE S, SE/O BOREN AVE S",2013,12340,29800,313225,Y,Y,"(47.599210087000074, -122.31413725499999)",2902.009391072332619
194,151300110,N,19223,NW MARKET ST,205,"NW MARKET ST, W/O 8TH AVE NW",2013,19223,24300,312792,Y,Y,"(47.668650650000075, -122.36220391299997)",6251.59244867808593
195,121250320,N,15553,N 45TH ST,174,"N 45TH ST, W/O EASTERN AVE N",2013,15553,24500,311602, ,Y,"(47.66138529600005, -122.34214535899997)",4925.065138570858835
196,83150030,N,11604,MAGNOLIA BR,161,"MAGNOLIA BR, E/O W GARFIELD ST OFF RP",2013,11604,17400,313131,Y,Y,"(47.63349905000007, -122.37619535299996)",8172.694429716227205
197,104400090,N,13540,WESTLAKE AVE N,275,"WESTLAKE AVE N, S/O HIGHLAND DR",2013,13540,21600,313264,Y,Y,"(47.62579577000008, -122.33863455)",8936.625931376462177
198,102580040,N,531032,WEST SEATTLE BR EB & WB,269,WEST SEATTLE BR (EB&WB) E/O 1ST AV S OFF RP,2013,531032,77200,313847, ,Y,"(47.571577664000074, -122.32898895899996)",2529.162260954186422
199,,Y,13202,UNIVERSITY ST,277,"UNIVERSITY ST, SW/O 4TH AVE",2013,13202,7900,312150, ,Y,"(47.60729905900007, -122.33708679799997)",644.064862138333069
200,139300040,N,18013,NE NORTHGATE WAY,199,"NE NORTHGATE WAY, E/O 5TH AVE NE",2013,18013,27900,313205,Y,Y,"(47.70863703600003, -122.32992812699996)",2973.231958994287197
201,110750030,N,14073,EAST GREEN LAKE WAY N,124,"EAST GREEN LAKE WAY N, NE/O N 57TH ST",2013,14073,15800,312744,Y,Y,"(47.679817015000026, -122.32571289799995)",5650.600238904021353
202,73600060,N,10940,HOLMAN RD NW,141,"HOLMAN RD NW, NE/O 13TH E AVE NW",2013,10940,27800,313116,Y,Y,"(47.69060910800005, -122.37680612099996)",7786.593394646370143
203,83000140,Y,11592,MADISON ST,160,"MADISON ST, NE/O BOREN AVE",2013,11592,27400,311558,Y,Y,"(47.60933797300004, -122.32513907699996)",1269.957271614438469
204,13750030,N,3444,23RD AVE S,35,"23RD AVE S, S/O S JACKSON ST",2013,3444,16100,313029,Y,Y,"(47.59928129200006, -122.30223345099995)",5429.362455647543356
205,116500250,N,14903,E UNION ST,121,"E UNION ST, W/O 26TH AVE",2013,14903,8400,313421, ,Y,"(47.61288935500005, -122.31673335399995)",5065.091808278198187
206,53900160,N,9125,BEACON AVE S,89,"BEACON AVE S, N/O S SPOKANE ST",2013,9125,9400,313456, ,Y,"(47.580593220000026, -122.31341202099998)",3460.821434990348735
207,50500050,Y,8738,ALASKAN WAY S,81,"ALASKAN WAY S, N/O S KING ST",2013,8738,8800,313705, ,Y,"(47.60171754600003, -122.33658213799998)",5022.673358605398789
208,100090,Y,1008,1ST AVE,33,"1ST AVE, SE/O PIKE ST",2013,1008,20400,313529, ,Y,"(47.603268557000035, -122.33493456499997)",3005.086100447229455
209,104200090,Y,13503,WESTERN AVE,274,"WESTERN AVE, NW/O UNION ST",2013,13503,6300,313736, ,Y,"(47.60172225500003, -122.33554940699997)",4200.081134974803717
210,55650010,N,9303,BOREN AVE,91,"BOREN AVE, NW/O E YESLER WAY",2013,9303,17700,313077,Y,Y,"(47.599210087000074, -122.31413725499999)",3403.673559076843958
211,94850600,N,12652,ROOSEVELT WAY NE ,224,"ROOSEVELT WAY NE, S/O NE NORTHGATE WAY",2013,12652,10200,313230,Y,Y,"(47.68311118200006, -122.31748950699995)",9284.037181567402513
212,68750010,N,10563,FREMONT BR,135,"FREMONT BR, N/O POINT A",2013,10563,30000,312720,Y,Y,"(47.64614702700004, -122.34974100999995)",1563.835201804165763
213,520040,N,1270,1ST AV S BR NB,26,"1ST AV S BR NB & SB, S/O POINT A",2013,1270,89700,313537, ,Y,"(47.54827138400003, -122.33430913199999)",6772.284374144170215
214,133200100,N,16929,NE 50TH ST,189,"NE 50TH ST, W/O ROOSEVELT WAY NE",2013,16929,17300,313154,Y,Y,"(47.66496550700003, -122.32199078299999)",2477.375120751406939
215,31500330,N,6261,4TH AVE S,58,"4TH AVE S, N/O S MICHIGAN ST",2013,6261,17400,313058,Y,Y,"(47.55339933000005, -122.32955138399996)",3468.623241174112536
216,162850080,N,20488,S JACKSON ST,233,"S JACKSON ST, E/O 5TH AVE S",2013,20488,13700,313768, ,Y,"(47.59920694700003, -122.33543958699994)",5255.776994419794391
217,97450080,N,12881,SR509 NB,247,"SR509 NB & SB , S/O CLOVERDALE ST ON & OFF RP",2013,12881,57900,313732, ,Y,"(47.51401604400007, -122.32819219199996)",5993.174003368635567
218,161550180,N,20241,S HENDERSON ST,231,"S HENDERSON ST, E/O RENTON AVE S",2013,20241,11000,313246,Y,Y,"(47.52330726800005, -122.26998603899995)",2223.645760480561421
219,113000310,N,14409,EAST MARGINAL WAY S,126,"EAST MARGINAL WAY S, SE/O 4TH AVE S",2013,14409,15500,313100,Y,Y,"(47.54389035400004, -122.32962073799996)",5366.358769004497844
220,83030670,N,486569,M L KING JR WAY S NB & SB,156,"M L KING JR ER & WR WAY S, SE/O S HOLLY ST",2013,486569,24100,313123, ,Y,"(47.54245258000003, -122.28370215499996)",7186.562463340459544
221,113000390,N,14420,EAST MARGINAL WAY S,127,"EAST MARGINAL WAY S, SE/O BOEING DR",2013,14420,17700,313102,Y,Y,"(47.53426725400004, -122.313197533)",1390.106762320916005
222,50450160,Y,269161,ALASKAN WAY,83,"ALASKAN WAY, SE/O PIKE ST",2013,269161,12400,313703, ,Y,"(47.60171754600003, -122.33658213799998)",2699.040329104448119
223,160500030,N,20110,S GRAHAM ST,230,"S GRAHAM ST, E/O SWIFT AVE S",2013,20110,12700,313755, ,Y,"(47.54698097800008, -122.30793669799999)",5651.076124614682158
224,52500700,N,8957,AURORA AVE N,87,"AURORA AVE N, S/O N 80TH ST",2013,8957,28000,313707, ,Y,"(47.65135136100008, -122.34731411199999)",13102.216993323672796
225,52501010,N,8988,AURORA AVE N,85,"AURORA AVE N, S/O N 112TH ST",2013,8988,32800,313436, ,Y,"(47.68694220500004, -122.34450322999999)",8438.973688005238728
226,57900270,N,9555,CALIFORNIA AVE SW,96,"CALIFORNIA AVE SW, S/O ERSKINE WAY SW",2013,9555,12300,313473, ,Y,"(47.55932475900005, -122.38682986999999)",5272.75741863451276
227,82930400,N,352636,ML KING JR BLVD S NB & SB,153,"M L KING JR ER & WR WAY S, N/O S ANDOVER ST",2013,352636,19400,312946, ,Y,"(47.60165615300008, -122.29676784199995)",15241.479141705767688
228,31500050,N,6230,4TH AVE S,59,"4TH AVE S, S/O 2ND AV ET S",2013,6230,29500,313064,Y,Y,"(47.59919689000003, -122.32896751399994)",989.412465069062819
229,95550230,N,12724,SAND POINT WAY NE,242,"SAND POINT WAY NE, S/O NE 74TH ST",2013,12724,15800,313727, ,Y,"(47.67572242700004, -122.26354467899995)",2627.995763036439712
230,110700050,N,14060,EAST GREEN LAKE DR N,123,"EAST GREEN LAKE DR N, NW/O LATONA AVE NE",2013,14060,13700,313440, ,Y,"(47.682772372000045, -122.34448441399996)",5942.773878748235802
231,95550200,N,12722,SAND POINT WAY NE,243,"SAND POINT WAY NE, SW/O NE 65TH ST",2013,12722,14300,313433, ,Y,"(47.66124330500003, -122.29286352199995)",9653.771663458908733
232,82930910,N,489661,M L KING JR WAY S,155,"M L KING JR ER & WR WAY S, S/O S NORFOLK ST",2013,489661,31200,313125, ,Y,"(47.50884352400004, -122.27822332499994)",5307.433892252531223
233,118500080,N,519931,N 125TH ST,168,"N 125TH ST, W/O AURORA AVE N",2013,519931,10100,313742, ,Y,"(47.71960135900008, -122.35553853899995)",2609.623381260936185
234,,N,484993,M L KING JR WAY S,154,"M L KING JR ER & WR WAY S, NW/O S EDMUNDS ST",2013,484993,20600,313460, ,Y,"(47.560808447000056, -122.29324025299996)",7102.213548926104522
235,104300010,Y,13524,WESTERN AV OFF RP,273,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB",2013,13524,17200,311463, ,Y,"(47.61090005900007, -122.34553867499994)",800.684096850946503
236,97810020,N,490543,SR99 FY,266,"WEST MARGINAL NB & SB WAY S, SE/O CLOVERDALE ST ON RP",2013,490543,44900,313524, ,Y,"(47.534199596000065, -122.33216467699998)",6145.461645382522875
237,60150010,Y,9738,COLUMBIA ST ON RP,102,"COLUMBIA ST ON RP, NE/O ALASKAN WY VI SB",2013,9738,14200,310755, ,Y,"(47.60236019700005, -122.33670251499996)",664.56559166020088
238,31500050,Y,6230,4TH AVE S,59,"4TH AVE S, S/O 2ND AV ET S",2013,6230,29500,313064,Y,Y,"(47.60178556900007, -122.32894644599997)",932.017380165577606
239,50450230,Y,8728,ALASKAN WAY,82,"ALASKAN WAY, SE/O BLANCHARD ST",2013,8728,10900,312610, ,Y,"(47.60784153700007, -122.34265099699996)",4264.962926742908166
240,181760010,N,22804,SW SPOKANE BR,259,"SW SPOKANE BR, W/O SW SPOKANE E ST",2013,22804,13100,312990,Y,Y,"(47.57156290100005, -122.34420594899996)",3997.452828943677105
241,27200140,N,5452,35TH AVE SW,51,"35TH AVE SW, S/O SW ALASKA ST",2013,5452,24600,313062,Y,Y,"(47.56407659800004, -122.37618931699996)",7074.601164246148073
242,78100010,R,489864,UNION ST OFF RAMP,261,"UNION ST OFF RP, NE/O UNION ST",2013,489864,9600,310729, ,Y,"(47.611576067000044, -122.33110191299994)",309.136216973011983
243,77250010,R,489829,OLIVE WAY OFF RAMP,206,"OLIVE WY OFF RP, S/O OLIVE WAY",2013,489829,9100,311667, ,Y,"(47.61348159700003, -122.32993940999995)",1120.935702374601078
244,96200020,R,490079,SENECA ST OFF RAMP,144,"I5 NB SENECA ST OFF RP, SE/O SENECA ST",2013,490079,13200,313523, ,Y,"(47.60567227100006, -122.32849229699997)",1443.091878314417272
245,78200010,R,489781,YALE ST ON RAMP,142,"HOWELL ST ON RP, N/O I5 SB",2013,489781,19000,311671, ,Y,"(47.61639303000004, -122.32915637199994)",448.622393919978379
246,75600010,R,490102,CHERRY ST ON RAMP NB,99,"CHERRY ST ON RP, NW/O CHERRY ST",2013,490102,11600,311666, ,Y,"(47.60526634200005, -122.32780083999995)",1466.019383842039588
247,77300010,R,489779,MELROSE AVE ON RAMP,207,"OLIVE WY ON RP, N/O MELROSE AV ON RP",2013,489779,15200,311668, ,Y,"(47.61637858700004, -122.32850941899994)",1405.447781487504244
248,50950010,N,8782,ALKI AVE SW,84,"ALKI AVE SW, W/O HARBOR AVE SW",2013,8782,9900,312864, ,Y,"(47.571788585000036, -122.37065501499995)",19122.276126402397495
249,76650010,R,490110,JAMES ST ON RAMP SB,69,"6TH AV ON RP, SE/O 6TH AVE",2013,490110,21200,310682, ,Y,"(47.601969170000075, -122.32558870799994)",644.882326286976422
250,75650010,R,490099,CHERRY ST REV RAMP,98,"CHERRY ST EXPRESS RP, NE/O CHERRY ST",2013,490099,3200,310677, ,Y,"(47.604891251000026, -122.32926248999996)",225.508948337041517
251,76600020,R,490084,COLUMBIA ST OFF RAMP,145,"JAMES ST OFF RP, NW/O COLUMBIA ST",2013,490084,15500,310515, ,Y,"(47.60640009800005, -122.32980491999996)",314.991595957489494
252,75680010,R,489839,PIKE RAMP,143,"I5 EXPR PIKE AND 9TH RP, N/O 9TH AV I5 EXPRESS ON RP",2013,489839,2900,310728, ,Y,"(47.619433736000076, -122.32848587399997)",2503.775484431897439
253,77800010,R,490080,SPRING ST ON RAMP,246,"SPRING ST ON RP, SE/O SPRING ST",2013,490080,18800,310516, ,Y,"(47.60773005000004, -122.33134254599997)",424.613715658628053
254,76850010,R,490101,MADISON ST OFF RAMP,159,"MADISON ST OFF RP, SE/O 7TH AVE",2013,490101,15500,311665, ,Y,"(47.60390393400007, -122.32669589799997)",1244.032458879068145
255,76600010,R,490103,JAMES ST OFF RAMP,146,"JAMES ST OFF RP, S/O JAMES ST",2013,490103,11400,311664, ,Y,"(47.60352527100008, -122.32631488099997)",434.652986933923216
256,78150010,R,489863,UNIVERSITY ST ON RAMP,263,"UNIVERSITY ST ON RP, N/O I5 NB",2013,489863,8300,310514, ,Y,"(47.61369492600005, -122.32985272899998)",1876.980425524549219
257,156200095,N,19699,S COLUMBIAN WAY,227,"S COLUMBIAN WAY, NW/O BEACON WR AVE S",2013,19699,15000,313238,Y,Y,"(47.56433107000004, -122.31350185899998)",7483.049032934466595
258,40250440,N,7537,51ST AVE S,63,"51ST AVE S, S/O S BANGOR ST",2013,7537,6100,313689, ,Y,"(47.52014716100007, -122.26971899099999)",9968.713226308924277
259,91600080,Y,12218,PINE ST,3,"PINE ST, NE/O 5TH AVE",2013,12218,8000,312387,Y, ,"(47.61120737300007, -122.33759198199999)",1287.492588107860229
260,49000210,R,8554,9TH AVE NE ON RAMP,280,"9TH AVE NE, S/O NE 75TH ST",2013,8554,7500,312312,Y, ,"(47.682109539000066, -122.31980116399995)",535.121755558716131
261,139450010,N,18037,NE PACIFIC PL,287,"NE PACIFIC PL, W/O MONTLAKE BLVD NE",2013,18037,9800,313207,Y, ,"(47.650543276000064, -122.30761623199999)",958.722888872438375
262,48900200,Y,8526,9TH AVE,281,"9TH AVE, NW/O LENORA ST",2013,8526,3300,310739,Y, ,"(47.61715418400007, -122.33703594599996)",441.973229333233576
263,73900020,Y,10961,HOWELL ST,283,"HOWELL ST, NE/O 9TH AVE",2013,10961,8300,310746,Y, ,"(47.61405656100004, -122.33406083199998)",1657.586247699027126
264,89500020,Y,12042,OLIVE WAY,290,"OLIVE WAY, SW/O 5TH AVE",2013,12042,6300,312388,Y, ,"(47.61218154000005, -122.33854264999997)",656.26936223118264
265,139500170,N,18047,NE PACIFIC ST,278,"NE PACIFIC ST, NW/O NE PACIFIC PL",2013,18047,25500,313213, ,Y,"(47.65297596400006, -122.31246414399999)",1488.547356390849473
266,78850060,Y,11054,JAMES ST,284,"JAMES ST, NE/O 6TH AVE",2013,11054,31900,313118,Y, ,"(47.60416123500005, -122.32807857799997)",321.540353449056795
267,65600100,N,10218,ELLIOTT AVE W,130,"ELLIOTT AVE W, SE/O W MERCER PL",2013,10218,44400,311610,Y,Y,"(47.618617769000025, -122.35847802499995)",7015.732512143245913
268,80150170,N,11159,LAKE CITY WAY NE,148,"LAKE CITY WAY NE, NE/O NE 95TH ST",2013,11159,37900,312768, ,Y,"(47.68536609200004, -122.31501728299997)",8009.31847490531527
269,300200,N,1211,1ST AVE S,29,"1ST AVE S, S/O S HORTON ST",2013,1211,30100,313448, ,Y,"(47.592395717000045, -122.33419450499997)",7546.902885094095836
270,83000090,Y,11587,MADISON ST,1,"MADISON ST, SW/O 7TH AVE",2013,11587,27400,313129,Y, ,"(47.606552746000034, -122.33179812299994)",1934.489126641931762
271,97770020,N,10993,SR 522,5,"SR522, SW/O 12TH AVE NE",2013,10993,34600,313252,Y, ,"(47.682558276000066, -122.31792862499998)",1298.293270977367229
272,59000060,Y,9664,CHERRY ST,282,"CHERRY ST, NE/O 6TH AVE",2013,9664,8100,310679,Y, ,"(47.604412909000075, -122.32984160499996)",591.914847891363138
273,75750010,R,490100,COLUMBIA ST RAMP,101,"COLUMBIA ST EXPRESS RP, E/O COLUMBIA ST",2013,490100,1100,310678, ,Y,"(47.604891251000026, -122.32926248999996)",327.206009350435409
274,89500070,Y,12047,OLIVE WAY,289,"OLIVE WAY, NE/O 9TH AVE",2013,12047,9000,310881,Y, ,"(47.613130126000044, -122.33628183799999)",2253.681708474840889
275,65700010,Y,10224,ELLIOTT AV ON RP,129,"ELLIOTT AV ON RP, NW/O ALASKAN WY VI SB",2013,10224,14300,311464,Y,Y,"(47.610664203000056, -122.34543064099995)",4363.898536526569842
276,134650170,N,17261,NE 65TH ST,194,"NE 65TH ST, W/O ROOSEVELT WAY NE",2013,17261,15300,313159,Y,Y,"(47.675969261000034, -122.331352832)",3446.829965808140059
277,91600110,Y,12222,PINE ST,4,"PINE ST, NE/O 9TH AVE",2013,12222,7700,313219,Y, ,"(47.61306393500007, -122.33315264199996)",965.915422648163826
278,91550100,Y,12205,PIKE ST,2,"PIKE ST, SW/O TERRY AVE",2013,12205,12200,313217,Y, ,"(47.61067790300007, -122.33557402499997)",1893.842646297782039
279,134650170,N,17265,NE 65TH ST,192,"NE 65TH ST, W/O 15TH AVE NE",2013,17265,15800,311582,Y,Y,"(47.67582932700003, -122.317363221)",1338.681975143111003
280,188450151,N,23541,WEST MARGINAL WAY SW,267,"WEST MARGINAL WAY SW, NW/O 2ND AVE SW",2013,23541,11200,313480, ,Y,"(47.54032992100008, -122.34218417799997)",1656.74221142686838
281,53960170,N,573395,BEACON AVE S,90,"BEACON AVE S, S/O S SPOKANE ST",2013,573395,13600,313712, ,Y,"(47.53895778300006, -122.29608148499995)",12515.943562130210921
282,59920010,N,534681,COLMAN DOCK,100,"COLMAN DOCK , W/O ALASKAN WAY",2013,534681,9900,313526, ,Y,"(47.601842788000056, -122.33759941899996)",260.525766088635521
283,178150150,N,22372,SW HOLDEN ST,256,"SW HOLDEN ST, W/O DELRIDGE WAY SW",2013,22372,6600,313478, ,Y,"(47.53369186200007, -122.36042453999994)",4000.473908819838471
284,98000130,Y,12906,STEWART ST,6,"STEWART ST, NE/O 9TH AVE",2013,12906,13100,311242,Y, ,"(47.61495251800005, -122.33529537599998)",2307.899191448266265
285,19300260,N,4248,28TH AVE W,41,"28TH AVE W, S/O W DRAVUS ST",2013,4248,3800,311752, ,Y,"(47.632304341000065, -122.39300801799999)",7612.385251869287458
286,50000204,N,8666,ARIPORT WAY S,80,"AIRPORT WAY S, S/O S STACY ST",2013,8666,10300,313454, ,Y,"(47.59017686400006, -122.32248169999997)",3838.873880515418023
287,80800090,N,11264,LAKESIDE AVE S,285,"LAKESIDE AVE S, S/O S DEARBORN ST",2013,11264,6800,310945,Y, ,"(47.61206167800003, -122.28198511299996)",16301.508755543676671
288,13900185,N,18049,NE PACIFIC ST,288,"NE PACIFIC ST, NW/O MONTLAKE BLVD NE",2013,18049,17700,313211,Y, ,"(47.650543276000064, -122.30761623199999)",934.910246969644959
289,169750080,N,21329,S SPOKANE ST,241,"S SPOKANE (NR&SR) ST, W/O 4TH AVE S",2013,21329,9200,313471, ,Y,"(47.57139257500006, -122.33419371699995)",2026.26245791871952
290,53150010,N,9047,BALLARD BR,,,2012,,54500,311270,,,"(47.65443888900006, -122.37621797899999)",5189.903181095412947
291,101600170,N,13267,VALLEY ST,,,2012,,31900,310099,,,"(47.62579577000008, -122.33863455)",2369.016017378569359
292,,N,8919,AURORA BR,,,2012,,56000,0,,,"(47.64225512400003, -122.34694325799995)",3324.626225921597324
293,50650220,N,8766,ALASKAN WY VI NB & SB,,,2012,,45600,311272,,,"(47.57170557200004, -122.33923779699995)",8971.327422801050488
294,50500170,N,8742,ALASKAN WAY S,,,2012,,14200,309951,,,"(47.58831040300004, -122.33844063699996)",6192.230082287675032
295,53650010,N,9080,BATTERY ST TUNNEL NB & SB,,,2012,,52600,311379,,,"(47.61402707700006, -122.34775449899996)",2041.684601680527521
