OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,STUDY_ID,TITLE,STUDY_ADT,STUDY_MAX8,STUDY_AMPK,STUDY_PMPK,SEG_COMPKEY,STDY_TITLE,STDY_LABEL,YEAR,FLOWMAP,HPMS_FLOW_,AWDT,ADJUSTMENT,AAWDT,RND_AAWDT,Shape,Shape_Length
67,20950790,N,4513,3RD AVE NW,124,311197,"3RD AVE NW, S/O NW 145TH ST; TOTAL FLOW; CH(AGG); 14May2012 11:15",8166,5298,707,859,4513,"3RD AVE NW, S/O NW 145TH ST","311197, 2012-05-14, TOTAL",2012,Y,"3RD AVE NW, S/O NW 145TH ST",8676.200000000000728,1.002,8694,8700,"(47.686939153000026, -122.36064997699998)",17217.821065002979594
68,31500240,N,6252,4TH AVE S,36,309909,"4TH AVE S, N/O S DAWSON ST; TOTAL FLOW; CH(AGG); 28Jun2012 10:45",27396,19002,2364,2844,6252,"4TH AVE S, N/O S DAWSON ST","309909, 2012-06-28, TOTAL",2012,Y,"4TH AVE S, N/O S DAWSON ST",32342.5,0.964,31178,31200,"(47.57142086600004, -122.32907749799995)",5766.409300005429941
69,6950380,N,2349,16TH AVE SW,225,311168,"16TH AVE SW, N/O SW CAMBRIDGE ST; TOTAL FLOW; CH(AGG); 25Jun2012 12:45",4410,2568,298,373,2349,"16TH AVE SW, N/O SW CAMBRIDGE ST","311168, 2012-06-25, TOTAL",2012,Y,"16TH AVE SW, N/O SW CAMBRIDGE ST",4575.800000000000182,0.964,4411,4400,"(47.533680428000025, -122.35503244799997)",5953.083780034568917
70,89550010,N,12052,OLSON PL SW,115,310053,"OLSON PL SW, SW/O 1ST AVE S; TOTAL FLOW; CH(AGG); 14May2012 12:45",30492,16976,2039,2556,12052,"OLSON PL SW, SW/O 1ST AVE S","310053, 2012-05-14, TOTAL",2012,Y,"OLSON PL SW, SW/O 1ST AVE S",31971,1.002,32035,32000,"(47.522322333000034, -122.33484135399999)",2293.665217459473297
71,65100270,N,10183,EASTLAKE AVE E,181,309959,"EASTLAKE AVE E, SW/O HARVARD AVE E; TOTAL FLOW; CH(AGG); 03Oct2012 10:30",13217,9042,1213,1561,10183,"EASTLAKE AVE E, SW/O HARVARD AVE E","309959, 2012-10-03, TOTAL",2012,Y,"EASTLAKE AVE E, SW/O HARVARD AVE E",14435.200000000000728,0.978,14118,14100,"(47.63225547800005, -122.32607101999997)",6934.407308454367922
72,300040,Y,1188,1ST AVE S,211,311367,"1ST AVE S, N/O S KING ST; TOTAL FLOW; CH(AGG); 12Mar2012 10:45",10583,4817,579,793,1188,"1ST AVE S, N/O S KING ST","311367, 2012-03-12, TOTAL",2012,Y,"1ST AVE S, N/O S KING ST",9162,1.046,9583,9600,"(47.59920482900003, -122.33418803099994)",918.302855917313991
73,27050120,N,5362,35TH AVE NE,191,309901,"35TH AVE NE, S/O NE 75TH ST; TOTAL FLOW; CH(AGG); 06Nov2012 10:30",13101,7880,991,1147,5362,"35TH AVE NE, S/O NE 75TH ST","309901, 2012-11-06, TOTAL",2012,Y,"35TH AVE NE, S/O NE 75TH ST",13748.5,1.04,14298,14300,"(47.66124330500003, -122.29286352199995)",8287.313089232146012
74,185650015,N,23271,W EMERSON PL,92,311265,"W EMERSON PL, SE/O 21ST AVE W; TOTAL FLOW; CH(AGG); 01Aug2012 10:15",21846,13119,1796,1864,23271,"W EMERSON PL, SE/O 21ST AVE W","311265, 2012-08-01, TOTAL",2012,Y,"W EMERSON PL, SE/O 21ST AVE W",23629.799999999999272,1.008,23819,23800,"(47.65399335500007, -122.37621487399997)",2821.736205912879996
75,300215,N,1214,1ST AVE S,192,309889,"1ST AVE S, S/O S SPOKANE SR ST; TOTAL FLOW; CH(AGG); 06Jun2012 12:30",15312,10531,1337,1646,1214,"1ST AVE S, S/O S SPOKANE SR ST","309889, 2012-06-06, TOTAL",2012,Y,"1ST AVE S, S/O S SPOKANE SR ST",17929.200000000000728,0.964,17284,17300,"(47.57139257500006, -122.33419371699995)",6553.646045818292805
76,100140,Y,1013,1ST AVE,70,309891,"1ST AVE, NW/O LENORA ST; TOTAL FLOW; CH(AGG); 17Sep2012 15:30",15641,7820,853,1340,1013,"1ST AVE, NW/O LENORA ST","309891, 2012-09-17, TOTAL",2012,Y,"1ST AVE, NW/O LENORA ST",15205.200000000000728,0.974,14810,14800,"(47.61027471300008, -122.34134343299996)",4622.277428966872321
77,47850140,Y,8279,8TH AVE,96,309921,"8TH AVE, SE/O PIKE ST; TOTAL FLOW; CH(AGG); 19Jul2012 11:30",4251,2989,368,564,8279,"8TH AVE, SE/O PIKE ST","309921, 2012-07-19, TOTAL",2012,Y,"8TH AVE, SE/O PIKE ST",4859,0.981,4767,4800,"(47.60794452500005, -122.32847075299998)",3919.718775202014513
78,129750230,N,16496,NE 125TH ST,137,310015,"NE 125TH ST, W/O 27TH AVE NE; TOTAL FLOW; CH(AGG); 17Sep2012 13:00",15532,9384,1008,1432,16496,"NE 125TH ST, W/O 27TH AVE NE","310015, 2012-09-17, TOTAL",2012,Y,"NE 125TH ST, W/O 27TH AVE NE",16310.600000000000364,0.974,15887,15900,"(47.71927875100005, -122.295233054)",5659.854577700646587
79,93450730,N,12409,RAINIER AVE S,60,310439,"RAINIER AVE S, S/O S OTHELLO ST; TOTAL FLOW; CH(AGG); 11Oct2012 11:00",21456,11960,1210,1843,12409,"RAINIER AVE S, S/O S OTHELLO ST","310439, 2012-10-11, TOTAL",2012,Y,"RAINIER AVE S, S/O S OTHELLO ST",21993,0.978,21509,21500,"(47.53695787700008, -122.27027401699996)",7910.414504446651335
80,52500030,N,8900,AURORA AVE N,180,311378,"AURORA AVE N, S/O HARRISON ST; TOTAL FLOW; CH(AGG);(2011 DATA) 04Jun2012 11:15",71029,47284,6689,7415,8900,"AURORA AVE N, S/O HARRISON ST","311378, 2012-06-04, TOTAL",2012,Y,"AURORA AVE N, S/O HARRISON ST",77221,0.964,74441,74400,"(47.618574815000045, -122.34357429399995)",1272.632664707547065
81,166350100,N,20911,S MYRTLE ST,5,310085,"S MYRTLE ST, W/O BEACON WR AVE S; TOTAL FLOW; CH(AGG); 02Apr2012 11:45",0,5946,726,912,20911,"S MYRTLE ST, W/O BEACON WR AVE S","310085, 2012-04-02, TOTAL",2012,Y,"S MYRTLE ST, W/O BEACON WR AVE S",11642,0.984,11456,11500,"(47.53973286000007, -122.30036374099996)",1055.601888054341543
82,63450280,Y,10023,DENNY WAY,206,309939,"DENNY WAY, E/O STEWART ST; TOTAL FLOW; CH(AGG); 22Aug2012 11:15",25807,12160,1712,1617,10023,"DENNY WAY, E/O STEWART ST","309939, 2012-08-22, TOTAL",2012,Y,"DENNY WAY, E/O STEWART ST",25447,1.008,25651,25700,"(47.61849175800006, -122.33072296099999)",1257.120454766368312
83,67700450,N,10420,FAUNTLEROY WAY SW,122,311045,"FAUNTLEROY WAY SW, N/O SW BARTON ST; TOTAL FLOW; CH(AGG); 24Jan2012 11:30",9429,5647,663,921,10420,"FAUNTLEROY WAY SW, N/O SW BARTON ST","311045, 2012-01-24, TOTAL",2012,Y,"FAUNTLEROY WAY SW, N/O SW BARTON ST",9776.600000000000364,1.012,9894,9900,"(47.528519095000036, -122.39273438499998)",8904.533509137947476
84,71050650,N,10764,GREENWOOD AVE N,116,311051,"GREENWOOD AVE N, S/O HOLMAN RD N; TOTAL FLOW; CH(AGG); 26Apr2012 13:00",11404,6854,709,1083,10764,"GREENWOOD AVE N, S/O HOLMAN RD N","311051, 2012-04-26, TOTAL",2012,Y,"GREENWOOD AVE N, S/O HOLMAN RD N",11901,0.984,11711,11700,"(47.686941912000066, -122.35529962599998)",6617.585138588244263
85,53850050,N,9093,BEACH DR SW,153,308134,"BEACH DR SW, SE/O 61ST AVE SW; TOTAL FLOW; CHB TUBE; 05Jun2012 13:45",5035,2771,302,423,9093,"BEACH DR SW, SE/O 61ST AVE SW","308134, 2012-06-05, TOTAL",2012,Y,"BEACH DR SW, SE/O 61ST AVE SW",4935.400000000000546,0.964,4758,4800,"(47.578355919000046, -122.41328134599996)",17360.705425549749634
86,31300120,Y,6130,4TH AVE,170,308943,"4TH AVE, SE/O PIKE ST; NW FLOW; CH(AGG); 18Jul2012 14:00",19662,11316,1523,1679,6130,"4TH AVE, SE/O PIKE ST","308943, 2012-07-18, NW",2012,Y,"4TH AVE, SE/O PIKE ST",21088.200000000000728,0.981,20688,20700,"(47.60178556900007, -122.32894644599997)",4472.226517739128212
87,63450245,Y,158085,DENNY WAY,251,309937,"DENNY WAY, E/O MINOR AVE; TOTAL FLOW; CH(AGG); 01Feb2012 10:45",21980,11745,1516,1703,158085,"DENNY WAY, E/O MINOR AVE","309937, 2012-02-01, TOTAL",2012,Y,"DENNY WAY, E/O MINOR AVE",22734.400000000001455,1.019,23166,23200,"(47.61851315400003, -122.33297304399997)",555.114553950470395
88,47050080,Y,8157,7TH AVE,255,311207,"7TH AVE, SE/O PIKE ST; TOTAL FLOW; CH(AGG); 02Aug2012 11:00",7176,4291,693,601,8157,"7TH AVE, SE/O PIKE ST","311207, 2012-08-02, TOTAL",2012,Y,"7TH AVE, SE/O PIKE ST",7900,1.008,7963,8000,"(47.610614154000075, -122.33244672399996)",1278.578003012311001
89,44350170,Y,7890,6TH AVE,138,311346,"6TH AVE, NW/O LENORA ST; NW FLOW; CH(AGG); 06Mar2012 12:00",6435,4336,455,892,7890,"6TH AVE, NW/O LENORA ST","311346, 2012-03-06, NW",2012,Y,"6TH AVE, NW/O LENORA ST",7390.400000000000546,1.046,7730,7700,"(47.613130126000044, -122.33628183799999)",2945.64639494731864
90,80150280,N,11166,LAKE CITY WAY NE,48,311053,"LAKE CITY WAY NE, SW/O NE 115TH ST; TOTAL FLOW; CH(AGG); 06Dec2012 11:45",37961,22092,2702,3250,11166,"LAKE CITY WAY NE, SW/O NE 115TH ST","311053, 2012-12-06, TOTAL",2012,Y,"LAKE CITY WAY NE, SW/O NE 115TH ST",40520.599999999998545,1.001,40561,40600,"(47.70419933100004, -122.30161245299996)",2944.375136294079311
91,93451120,N,12439,RAINIER AVE S,82,310063,"RAINIER AVE S, SE/O 75TH AVE S; TOTAL FLOW; CH(AGG); 03May2012 10:45",18372,10328,1154,1656,12439,"RAINIER AVE S, SE/O 75TH AVE S","310063, 2012-05-03, TOTAL",2012,Y,"RAINIER AVE S, E/O 75TH AVE S",18505.200000000000728,1.002,18542,18500,"(47.52011701300006, -122.26277739699998)",8041.57296682895776
92,119750060,N,15264,N 145TH ST,113,310003,"N 145TH ST, W/O LINDEN AVE N; TOTAL FLOW; CH(AGG); 05Sep2012 11:30",13166,7744,938,1161,15264,"N 145TH ST, W/O LINDEN AVE N","310003, 2012-09-05, TOTAL",2012,Y,"N 145TH ST, W/O LINDEN AVE N",13947,0.974,13584,13600,"(47.734140585000034, -122.36092988499996)",3896.135071547790631
93,38950585,N,7255,5TH AVE NE,58,309917,"5TH AVE NE, S/O NE NORTHGATE WAY; TOTAL FLOW; CH(AGG); 19Apr2012 11:00",17641,11393,1195,1748,7255,"5TH AVE NE, S/O NE NORTHGATE WAY","309917, 2012-04-19, TOTAL",2012,Y,"5TH AVE NE, S/O NE NORTHGATE WAY",19063.600000000002183,0.984,18759,18800,"(47.68507268700006, -122.32292811299999)",8580.440533673958271
94,125000140,N,15962,N 85TH ST,188,310619,"N 85TH ST, W/O ASHWORTH AVE N; TOTAL FLOW; CH(AGG); 17Oct2012 11:15",22661,11507,1344,1588,15962,"N 85TH ST, W/O ASHWORTH AVE N","310619, 2012-10-17, TOTAL",2012,Y,"N 85TH ST, W/O ASHWORTH AVE N",22612.600000000002183,0.978,22115,22100,"(47.68507268700006, -122.32292811299999)",6273.092717292920497
95,136400060,N,17610,NE 80TH ST,80,311252,Aggregate Title,11645,6964,823,1097,17610,Aggregate Title,"311252, 2012-07-30, E",2012,Y,"NE 80TH ST, E/O 5TH AVE NE",12559.600000000000364,0.981,12321,12300,"(47.68678736500004, -122.32295135999999)",1329.873409281319255
96,5550170,N,2047,15TH AVE NE,106,311150,"15TH AVE NE, S/O NE 65TH ST; TOTAL COUNT; AGG; 03Oct2012 11:30",9356,6107,738,1089,2047,"15TH AVE NE, S/O NE 65TH ST","311150, 2012-10-03, N",2012,Y,"15TH AVE NE, S/O NE 65TH ST",9990.800000000001091,0.978,9771,9800,"(47.661261953000064, -122.31199330999999)",5297.115921285669174
97,132850275,N,288753,NE 45TH ST,89,311250,Aggregate Title,34756,20639,2916,2956,288753,Aggregate Title,"311250, 2012-10-04, E",2012,Y,"NE 45TH ST, W/O NE 45TH PL",37282.80000000000291,0.978,36463,36500,"(47.658981683000036, -122.30113876099995)",2427.541808724048678
98,160200190,N,20097,S GENESEE ST,98,311110,"S GENESEE ST, E/O 38TH AVE S; TOTAL FLOW; CH(AGG); 11Jun2012 10:00",0,5938,696,979,20097,"S GENESEE ST, E/O 38TH AVE S","311110, 2012-06-11, TOTAL",2012,Y,"S GENESEE ST, E/O 38TH AVE S",10318.200000000000728,0.964,9947,9900,"(47.56409503800006, -122.28818594699999)",4316.756316278419945
99,94850100,N,12601,ROOSEVELT WAY NE,178,309198,"ROOSEVELT WAY NE, N/O NE 50TH ST; S FLOW; CH1; 02Oct2012 11:15",10287,6587,1037,981,12601,"ROOSEVELT WAY NE, N/O NE 50TH ST","309198, 2012-10-02, S",2012,Y,"ROOSEVELT WAY NE, N/O NE 50TH ST",10766,0.978,10529,10500,"(47.656021268000075, -122.31784149899994)",9323.639308536157841
100,120600150,N,15416,N 40TH ST,46,311097,"N 40TH ST, E/O STONE WAY N; TOTAL FLOW; CH(AGG); 24Apr2012 11:45",10524,6721,852,1069,15416,"N 40TH ST, E/O STONE WAY N","311097, 2012-04-24, TOTAL",2012,Y,"N 40TH ST, E/O STONE WAY N",11236.200000000000728,0.984,11056,11100,"(47.65538287700008, -122.34243924099997)",4695.00078826016761
101,31500060,N,6232,4TH AVE S,24,309915,"4TH AVE S, S/O SEATTLE BLVD S; TOTAL FLOW; CH(AGG); 24Oct2012 11:45",24365,15537,2025,2416,6232,"4TH AVE S, S/O SEATTLE BLVD S","309915, 2012-10-24, TOTAL",2012,Y,"4TH AVE S, S/O SEATTLE BLVD S",26765.200000000000728,0.978,26176,26200,"(47.59648601400005, -122.32904621999995)",9143.612028728086443
102,173050020,N,21691,SW ADMIRAL WAY,218,310089,"SW ADMIRAL WAY, SE/O SW CITY VIEW ST; TOTAL FLOW; CH(AGG); 05Apr2012 11:30",23614,13455,1683,2091,21691,"SW ADMIRAL WAY, SE/O SW CITY VIEW ST","310089, 2012-04-05, TOTAL",2012,Y,"SW ADMIRAL WAY, SE/O SW CITY VIEW ST",24589.400000000001455,0.984,24196,24200,"(47.572083992000046, -122.37199326999996)",5797.16372341431088
103,164950060,N,20693,S LUCILE ST,64,309558,"S LUCILE ST, E/O 4TH AVE S; TOTAL FLOW; CHB TUBE; 27Nov2012 12:45",6658,4949,660,754,20693,"S LUCILE ST, E/O 4TH AVE S","309558, 2012-11-27, TOTAL",2012,Y,"S LUCILE ST, E/O 4TH AVE S",8034.199999999999818,1.04,8356,8400,"(47.55339933000005, -122.32955138399996)",2110.63666944932902
104,31500330,N,6261,4TH AVE S,111,309911,"4TH AVE S, N/O S MICHIGAN ST; TOTAL FLOW; CH(AGG); 21Aug2012 11:00",18220,12313,1601,1656,6261,"4TH AVE S, N/O S MICHIGAN ST","309911, 2012-08-21, TOTAL",2012,Y,"4TH AVE S, N/O S MICHIGAN ST",21658.200000000000728,1.008,21831,21800,"(47.55563644700004, -122.32953101199996)",4284.660798757133307
105,63200030,N,9960,DELRIDGE WAY SW,247,309935,"DELRIDGE WAY SW, S/O SW ANDOVER ST; TOTAL FLOW; CH(AGG); 05Jun2012 11:45",18363,10348,1549,1463,9960,"DELRIDGE WAY SW, S/O SW ANDOVER ST","309935, 2012-06-05, TOTAL",2012,Y,"DELRIDGE WAY SW, S/O SW ANDOVER ST",19736.200000000000728,0.964,19026,19000,"(47.571207618000074, -122.35847912499997)",12560.251958228536751
106,71050490,N,10746,GREENWOOD AVE N,169,309971,"GREENWOOD AVE N, S/O N 80TH ST; TOTAL FLOW; CH(AGG); 01Nov2012 11:15",10716,6390,769,954,10746,"GREENWOOD AVE N, S/O N 80TH ST","309971, 2012-11-01, TOTAL",2012,Y,"GREENWOOD AVE N, S/O N 80TH ST",11036.399999999999636,1.04,11478,11500,"(47.67602257000004, -122.35435321799997)",4085.27162156830218
107,38950590,N,7256,5TH AVE NE,228,311036,"5TH AVE NE, N/O NE NORTHGATE WAY; TOTAL FLOW; CH(AGG); 19Apr2012 11:00",11644,7346,755,1180,7256,"5TH AVE NE, N/O NE NORTHGATE WAY","311036, 2012-04-19, TOTAL",2012,Y,"5TH AVE NE, N/O NE NORTHGATE WAY",12150.800000000001091,0.984,11956,12000,"(47.70859413300008, -122.32327545299995)",5299.088007358259347
108,10750020,N,3090,20TH AVE W,42,311034,"20TH AVE W, S/O W DRAVUS ST; TOTAL FLOW; CH(AGG); 01Aug2012 10:30",6177,3455,407,516,3090,"20TH AVE W, S/O W DRAVUS ST","311034, 2012-08-01, TOTAL",2012,Y,"20TH AVE W, S/O W DRAVUS ST",6474.800000000000182,1.008,6527,6500,"(47.63231571700004, -122.39187886999997)",9516.928718713666967
109,86950030,N,11911,MONTLAKE BLVD NE,16,311063,"MONTLAKE BLVD NE, N/O NE PACIFIC PL; TOTAL FLOW; CH(AGG); 04Oct2012 11:15",40804,23859,3009,3463,11911,"MONTLAKE BLVD NE, N/O NE PACIFIC PL","311063, 2012-10-04, TOTAL",2012,Y,"MONTLAKE BLVD NE, N/O NE PACIFIC PL",43263.599999999998545,0.978,42312,42300,"(47.65108342000008, -122.30390735999998)",2966.829558848948182
110,1500170,N,1298,10TH AVE E,202,311024,"10TH AVE E, S/O E BOSTON ST; TOTAL FLOW; CH(AGG); 22Aug2012 12:00",17642,10004,1050,1596,1298,"10TH AVE E, S/O E BOSTON ST","311024, 2012-08-22, TOTAL",2012,Y,"10TH AVE E, S/O E BOSTON ST",18138.200000000000728,1.008,18283,18300,"(47.62504920300006, -122.32089298799997)",6739.724574752024637
111,4650470,N,1960,14TH AVE S,236,309873,"14TH AVE S, N/O S DIRECTOR ST; TOTAL FLOW; CH(AGG); 02May2012 11:45",0,6120,799,894,1960,"14TH AVE S, N/O S DIRECTOR ST","309873, 2012-05-02, TOTAL",2012,Y,"14TH AVE S, N/O S DIRECTOR ST",11137,1.002,11159,11200,"(47.52223294400005, -122.31498166799997)",1863.588880523029729
112,156200095,N,166998,S COLUMBIAN WAY,171,310075,"S COLUMBIAN WAY, W/O BEACON WR AVE S; TOTAL FLOW; CH(AGG); 20Sep2012 13:00",14717,8488,1112,1266,166998,"S COLUMBIAN WAY, W/O BEACON WR AVE S","310075, 2012-09-20, TOTAL",2012,Y,"S COLUMBIAN WAY, W/O BEACON WR AVE S",15423.399999999999636,0.974,15022,15000,"(47.56433107000004, -122.31350185899998)",7483.049032934466595
113,118650070,N,15160,N 130TH ST,9,310001,"N 130TH ST, W/O LINDEN AVE N; TOTAL FLOW; CH(AGG); 05Sep2012 12:00",13112,8029,963,1217,15160,"N 130TH ST, W/O LINDEN AVE N","310001, 2012-09-05, TOTAL",2012,Y,"N 130TH ST, W/O LINDEN AVE N",13942.399999999999636,0.974,13580,13600,"(47.72323366900008, -122.35554671099999)",2601.585352370117562
114,125000070,N,15954,N 85TH ST,161,310011,"N 85TH ST, W/O LINDEN AVE N; TOTAL FLOW; CH(AGG); 05Dec2012 10:30",21578,11325,1324,1580,15954,"N 85TH ST, W/O LINDEN AVE N","310011, 2012-12-05, TOTAL",2012,Y,"N 85TH ST, W/O LINDEN AVE N",21806.400000000001455,1.001,21828,21800,"(47.690562587000045, -122.34452192099997)",5288.15231999761636
115,121950060,N,15641,N 50TH ST,8,311244,Aggregate Title,23251,13395,1823,2044,15641,Aggregate Title,"311244, 2012-10-22, E",2012,Y,"N 50TH ST, W/O FREMONT AVE N",24064.799999999999272,0.978,23535,23500,"(47.66501938000005, -122.35395996399996)",3394.511841035884572
116,164200065,N,20628,S LANDER ST,222,310382,"S LANDER ST, W/O 6TH AVE S; TOTAL FLOW; CH(AGG); 24Oct2012 12:00",12580,8575,1077,1220,20628,"S LANDER ST, W/O 6TH AVE S","310382, 2012-10-24, TOTAL",2012,Y,"S LANDER ST, W/O 6TH AVE S",14355.399999999999636,0.978,14040,14000,"(47.57981113900007, -122.33420081399998)",3159.95873155522213
117,3400060,N,1656,12TH AVE S,214,311347,"12TH AVE S, S/O S WELLER ST; TOTAL FLOW; CH(AGG); 13Mar2012 10:00",10236,6734,650,1231,1656,"12TH AVE S, S/O S WELLER ST","311347, 2012-03-13, TOTAL",2012,Y,"12TH AVE S, S/O S WELLER ST",11384.600000000000364,1.046,11908,11900,"(47.59918906300004, -122.31722284699998)",1509.151162677256025
118,63200190,N,9976,DELRIDGE WAY SW,21,309931,"DELRIDGE WAY SW, N/O SW MYRTLE ST; TOTAL FLOW; CH(AGG); 18Sep2012 11:30",15699,8821,1050,1342,9976,"DELRIDGE WAY SW, N/O SW MYRTLE ST","309931, 2012-09-18, TOTAL",2012,Y,"DELRIDGE WAY SW, N/O SW MYRTLE ST",16503,0.974,16074,16100,"(47.539147402000026, -122.36093796499995)",6001.090001018498697
119,134650300,N,17278,NE 65TH ST,174,310023,"NE 65TH ST, E/O 25TH AVE NE; TOTAL FLOW; CH(AGG); 28Mar2012 11:30",11756,7026,1050,1039,17278,"NE 65TH ST, E/O 25TH AVE NE","310023, 2012-03-28, TOTAL",2012,Y,"NE 65TH ST, E/O 25TH AVE NE",12134.800000000001091,1.046,12693,12700,"(47.67577422100004, -122.30065154799996)",2556.737202659959621
120,68700160,N,10498,FREMONT AVE N,196,311047,"FREMONT AVE N, S/O N 46TH ST; TOTAL FLOW; CH(AGG); 26Jun2012 10:15",9684,5117,559,738,10498,"FREMONT AVE N, S/O N 46TH ST","311047, 2012-06-26, TOTAL",2012,Y,"FREMONT AVE N, S/O N 46TH ST",9721.200000000000728,0.964,9371,9400,"(47.65043101700007, -122.34983490399998)",5330.672499823933322
121,112750380,N,14372,E MADISON ST,231,311085,"E MADISON ST, SW/O 38TH AVE E; TOTAL FLOW; CH(AGG); 27Mar2012 12:45",11913,7121,928,994,14372,"E MADISON ST, SW/O 38TH AVE E","311085, 2012-03-27, TOTAL",2012,Y,"E MADISON ST, SW/O 38TH AVE E",12559.399999999999636,1.046,13137,13100,"(47.62601780000006, -122.29244003299999)",5345.494650998864927
122,53150010,N,9047,BALLARD BR,240,311270,"BALLARD BR, S/O POINT A; TOTAL FLOW; CH(AGG); 08Feb2012 15:45",50931,30392,3577,4613,9047,"BALLARD BR, S/O POINT A","311270, 2012-02-08, TOTAL",2012,Y,"BALLARD BR, S/O POINT A",53499.80000000000291,1.019,54516,54500,"(47.65443888900006, -122.37621797899999)",5189.903181095412947
123,5650245,N,2155,15TH AVE S,47,309879,"15TH AVE S, S/O S BRADFORD ST; TOTAL FLOW; CH(AGG); 28Jun2012 11:00",21636,12636,1606,1940,2155,"15TH AVE S, S/O S BRADFORD ST","309879, 2012-06-28, TOTAL",2012,Y,"15TH AVE S, S/O S BRADFORD ST",23419.75,0.964,22577,22600,"(47.569166186000075, -122.31343045799997)",1763.857398157738089
124,135950280,N,17527,NE 75TH ST,173,310031,"NE 75TH ST, W/O 30TH AVE NE; TOTAL FLOW; CH(AGG); 28Mar2012 12:45",15905,9752,1405,1454,17527,"NE 75TH ST, W/O 30TH AVE NE","310031, 2012-03-28, TOTAL",2012,Y,"NE 75TH ST, W/O 30TH AVE NE",16561.400000000001455,1.046,17323,17300,"(47.683047427000076, -122.30075822799995)",2532.02921065362807
125,135950110,N,17510,NE 75TH ST,65,310029,"NE 75TH ST, E/O 12TH AVE NE; TOTAL FLOW; CH(AGG); 28Mar2012 13:15",20353,12412,1626,1917,17510,"NE 75TH ST, E/O 12TH AVE NE","310029, 2012-03-28, TOTAL",2012,Y,"NE 75TH ST, E/O 12TH AVE NE",21176.400000000001455,1.046,22151,22200,"(47.68311118200006, -122.31748950699995)",4121.496923962295114
126,65750060,N,10230,ELLIS AVE S,265,311044,"ELLIS AVE S, S/O S WARSAW ST; TOTAL FLOW; CH(AGG); 06Dec2012 11:00",4921,3655,543,580,10230,"ELLIS AVE S, S/O S WARSAW ST","311044, 2012-12-06, TOTAL",2012,Y,"ELLIS AVE S, S/O S WARSAW ST",6054,1.001,6060,6100,"(47.54394489200007, -122.31893008499998)",6690.953181950859289
127,63450200,Y,10015,DENNY WAY,94,309941,"DENNY WAY, E/O WESTLAKE AVE; TOTAL FLOW; CH(AGG); 01Feb2012 11:00",31979,17068,2377,2230,10015,"DENNY WAY, E/O WESTLAKE AVE","309941, 2012-02-01, TOTAL",2012,Y,"DENNY WAY, E/O WESTLAKE AVE",33111.599999999998545,1.019,33741,33700,"(47.618550165000045, -122.34240185299996)",2325.446537794462529
128,3300260,N,1589,12TH AVE NE,150,309471,"12TH AVE NE, S/O NE 75TH ST; N FLOW; CHA TUBE; 05Nov2012 10:45",8564,5897,426,1299,1589,"12TH AVE NE, S/O NE 75TH ST","309471, 2012-11-05, N",2012,Y,"12TH AVE NE, S/O NE 75TH ST",8993.399999999999636,1.04,9353,9400,"(47.67581492800008, -122.31565804699994)",2640.895427198398465
129,101600170,N,13267,VALLEY ST,168,310099,"VALLEY ST, W/O FAIRVIEW AVE N; TOTAL FLOW; CH(AGG); 01Feb2012 10:15",29480,15869,2218,2222,13267,"VALLEY ST, W/O FAIRVIEW AVE N","310099, 2012-02-01, TOTAL",2012,Y,"VALLEY ST, W/O FAIRVIEW AVE N",31301.600000000002183,1.019,31896,31900,"(47.62579577000008, -122.33863455)",4144.171344866686923
130,174000250,N,21848,SW BARTON ST,78,311119,"SW BARTON ST, W/O 30TH AVE SW; TOTAL FLOW; CH(AGG); 21Jun2012 12:45",9291,5549,601,824,21848,"SW BARTON ST, W/O 30TH AVE SW","311119, 2012-06-21, TOTAL",2012,Y,"SW BARTON ST, W/O 30TH AVE SW",9444,0.964,9104,9100,"(47.52280971300007, -122.34672690899998)",7676.935375414414011
131,14750110,N,3543,24TH AVE E,123,309893,"24TH AVE E, N/O E PROSPECT ST; TOTAL FLOW; CH(AGG); 22Aug2012 12:15",16236,10389,1297,1686,3543,"24TH AVE E, N/O E PROSPECT ST","309893, 2012-08-22, TOTAL",2012,Y,"24TH AVE E, N/O E PROSPECT ST",17810.200000000000728,1.008,17953,18000,"(47.61917077700008, -122.30254741099998)",9802.829220874409657
132,22750030,N,4828,31ST AVE S,68,311201,"31ST AVE S, S/O S JACKSON ST; TOTAL FLOW; CH(AGG); 19Mar2012 12:30",4164,2778,463,452,4828,"31ST AVE S, S/O S JACKSON ST","311201, 2012-03-19, TOTAL",2012,Y,"31ST AVE S, S/O S JACKSON ST",4449.800000000000182,1.046,4654,4700,"(47.59912512400007, -122.29258593199995)",8590.215932265140509
133,148000130,N,18898,NW 80TH ST,248,311106,"NW 80TH ST, W/O 15TH AVE NW; TOTAL FLOW; CH(AGG); 18Apr2012 10:30",9570,5515,687,838,18898,"NW 80TH ST, W/O 15TH AVE NW","311106, 2012-04-18, TOTAL",2012,Y,"NW 80TH ST, W/O 15TH AVE NW",9780.600000000000364,0.984,9624,9600,"(47.68687813100007, -122.37679291699999)",5301.033539662792464
